season,gw,team,xgc,clean_sheet,element,cf,def,xgc90,opponent,home,strength_cut,strength_end,difficulty_end,difficulty_pit,def_pit,def_moved,ambiguous
2020-21,18,1,1.0427803795832387,1,8,1,0.85,1.226800446568516,6,1,1110,1090,2,3,1.0,1,0
2020-21,18,3,1.761398206346826,0,66,1,1.4,1.2581415759620187,12,0,1360,1360,5,5,1.4,0,0
2020-21,18,6,1.6516363817142858,1,128,1,1.2,1.3763636514285715,1,0,1210,1250,4,3,1.0,1,0
2020-21,18,7,1.2670866126244018,0,156,1,1,1.2670866126244018,20,0,1190,1110,3,3,1.0,0,0
2020-21,18,8,1.6372047605321507,0,516,1,1.2,1.364337300443459,17,0,1280,1250,4,4,1.2,0,0
2020-21,18,12,0.8674011598383707,1,278,1,1,0.8674011598383707,3,1,1080,1130,3,2,0.85,1,0
2020-21,18,13,0.960693417872807,1,298,1,0.85,1.1302275504385966,4,0,1080,1070,2,2,0.85,0,0
2020-21,18,14,1.1439200695121952,0,325,1,0.85,1.3457883170731708,15,0,1100,1040,2,2,0.85,0,0
2020-21,18,15,1.285269212054054,1,483,1,0.85,1.512081425945946,14,1,1100,1050,2,2,0.85,0,0
2020-21,18,17,1.0021118681600294,0,383,1,0.85,1.1789551390117994,8,1,1000,1090,2,2,0.85,0,0
2020-21,18,20,1.4095431157894733,0,455,1,1.2,1.1746192631578944,7,1,1180,1250,4,3,1.0,1,0
2020-21,19,1,1.0242200919069604,1,8,1,0.85,1.2049648140081888,14,1,1100,1050,2,2,0.85,0,0
2020-21,19,3,1.3147013129235379,1,66,1,1,1.3147013129235379,10,0,1130,1170,3,3,1.0,0,0
2020-21,19,6,1.8683475615384615,0,128,1,1.4,1.3345339725274725,12,0,1360,1360,5,5,1.4,0,0
2020-21,19,15,1.4909363326403329,0,483,1,1,1.4909363326403329,17,1,1270,1190,3,4,1.2,1,0
2020-21,19,16,1.3549417383050848,0,375,1,1.2,1.1291181152542373,9,0,1240,1260,4,4,1.2,0,0
2020-21,19,17,0.9949285134336282,0,383,1,0.85,1.1705041334513273,15,0,1100,1040,2,2,0.85,0,0
2020-21,19,20,0.9697400420040484,0,455,1,0.85,1.1408706376518216,18,1,1010,1050,2,2,0.85,0,0
2020-21,20,1,0.9945168005400358,0,8,1,0.85,1.1700197653412185,16,0,1180,1100,2,3,1.0,1,0
2020-21,20,2,0.9729318531688311,0,12,1,0.85,1.1446257096103896,4,0,1080,1070,2,2,0.85,0,0
2020-21,20,3,1.08187989613943,1,66,1,0.85,1.2727998778110943,8,1,1000,1090,2,2,0.85,0,0
2020-21,20,4,1.105999281473684,0,96,1,0.85,1.3011756252631577,2,1,1150,1100,2,3,1.0,1,0
2020-21,20,6,1.6377103015873018,0,128,1,1.2,1.3647585846560848,19,1,1140,1230,4,3,1.0,1,0
2020-21,20,7,1.4960263491242536,0,156,1,1.2,1.2466886242702113,9,1,1220,1240,4,4,1.2,0,0
2020-21,20,8,1.4005456808648649,1,516,1,1,1.4005456808648649,3,0,1100,1130,3,2,0.85,1,0
2020-21,20,9,1.159785028265107,0,217,1,1,1.159785028265107,7,0,1210,1130,3,3,1.0,0,0
2020-21,20,10,1.3801757010399391,0,200,1,0.85,1.6237361188705166,14,0,1130,1070,2,3,1.0,1,0
2020-21,20,11,1.2687582191863995,0,255,1,1.2,1.0572985159886663,17,0,1280,1250,4,4,1.2,0,0
2020-21,20,12,0.7068732265591012,1,278,1,0.85,0.8316155606577662,18,0,1030,1040,2,2,0.85,0,0
2020-21,20,13,0.9313131631091616,0,298,1,0.85,1.0956625448343078,15,1,1070,1000,2,2,0.85,0,0
2020-21,20,14,1.3949088341341342,0,325,1,1,1.3949088341341342,10,1,1100,1160,3,2,0.85,1,0
2020-21,20,15,1.7752817621621622,0,483,1,1.2,1.4794014684684684,13,0,1230,1320,4,4,1.2,0,0
2020-21,20,17,1.3920568309053776,0,383,1,1.2,1.1600473590878146,11,1,1320,1250,4,4,1.2,0,0
2020-21,20,18,2.1135955394594594,0,417,1,1.2,1.7613296162162162,12,1,1310,1340,4,4,1.2,0,0
2020-21,20,19,1.3362303514376128,0,435,1,1,1.3362303514376128,6,0,1150,1110,3,3,1.0,0,0
2020-21,20,20,1.3785068701754384,1,455,1,1.2,1.1487557251461986,5,0,1280,1280,4,4,1.2,0,0
2020-21,21,1,1.3944394141805534,1,8,1,1.2,1.1620328451504611,13,1,1230,1250,4,4,1.2,0,0
2020-21,21,2,0.9570670049700299,1,12,1,0.85,1.1259611823176823,16,0,1180,1100,2,3,1.0,1,0
2020-21,21,3,1.2431225119662388,1,66,1,1,1.2431225119662388,17,1,1270,1190,3,4,1.2,1,0
2020-21,21,4,1.621160290688259,0,96,1,1.2,1.3509669089068825,5,0,1280,1280,4,4,1.2,0,0
2020-21,21,5,0.8303196906410255,1,548,1,0.85,0.9768466948717948,4,1,1050,1060,2,2,0.85,0,0
2020-21,21,6,1.2156824095663268,1,128,1,0.85,1.4302145994897961,20,1,1160,1080,2,3,1.0,1,0
