element,GW,expected_goals
207,38,0.148502
209,1,0.077340
209,4,0.012381
209,6,0.033817
209,18,0.031057
209,19,0.080415
209,25,0.091437
209,26,0.049868
209,27,0.099492
209,31,0.475899
209,35,0.011750
210,2,0.049863
210,3,0.072488
210,5,0.095483
210,6,0.067749
210,8,0.022938
210,11,0.028636
210,12,0.115283
210,19,0.309322
210,20,0.067970
210,31,0.094545
210,33,0.009738
210,35,0.121665
210,36,0.047808
210,37,0.045955
210,38,0.012812
215,5,0.068581
215,7,0.015647
215,9,0.700361
215,10,0.032002
215,11,0.515197
215,12,0.277438
215,13,0.747298
215,14,0.023937
215,15,0.932203
215,16,0.073083
215,24,0.013215
215,25,0.744985
215,26,0.324578
215,27,0.278196
215,28,0.263829
215,30,0.723817
215,31,1.091169
215,32,0.208626
215,33,0.763888
215,36,0.909250
215,38,0.113098
216,35,0.056348
216,36,0.103179
217,1,0.241644
217,3,0.435328
217,5,0.032214
217,6,0.219451
217,9,0.336564
217,14,0.351179
217,15,0.015779
217,16,0.023405
217,23,0.740501
217,29,0.643859
217,30,0.108916
217,33,0.167242
218,19,0.106519
218,38,0.282346
224,1,0.051641
224,4,0.037182
224,5,0.026087
224,6,0.020217
224,9,0.080771
224,10,0.046901
224,11,0.034686
224,12,0.184701
224,15,0.033485
224,23,0.096598
224,24,0.531397
224,25,0.084422
224,31,0.049931
224,32,0.396029
224,35,0.032905
224,36,0.034175
225,3,0.030719
225,4,0.014454
225,6,0.037011
225,8,0.487058
225,10,0.089658
225,13,0.018826
225,16,0.090115
225,17,0.090718
225,18,0.090473
225,29,0.044997
225,30,0.123492
225,38,0.016111
226,1,0.121070
226,2,0.589730
226,3,0.052702
226,4,0.042436
226,5,0.276394
226,9,0.013262
226,12,0.014096
226,13,0.031313
226,16,0.042782
226,19,0.079270
226,30,0.316104
226,33,0.015027
226,35,0.105758
228,1,0.014104
228,7,0.017350
228,8,0.021816
228,11,0.579340
228,12,0.092841
228,16,0.536061
228,19,0.108790
228,25,0.300371
228,26,0.057126
228,35,0.064771
230,11,0.086194
230,13,0.069182
230,29,0.117189
230,30,0.030127
230,31,0.040974
230,33,0.154987
231,28,0.525694
232,5,0.032928
232,14,0.033923
233,1,0.075185
233,8,0.528480
233,38,0.015691
235,1,0.206335
235,4,0.275958
235,14,0.096893
235,15,0.055859
235,16,0.311126
235,17,0.026759
235,18,0.188729
235,19,0.752342
