sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
GATEXP2#1,1786749796-1052671,real (ships),0,true,2021-22,2020-21,11,28,5,false,1521,1604,32,6,54.32142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,0,0,0,0,,55,b9a408253035,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2022-23,2021-22,11,28,5,false,1554,1548,30,4,55.5,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,,55,f82a462d3eb2,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,,55,025d70cb5565,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,,55,d7639030dcde,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,,55,b5c18c2f39b5,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2020-21,2019-20,16,23,5,false,1319,1189,23,2,57.34782608695652,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,,55,38103e5146cf,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2021-22,2020-21,16,23,5,false,1324,1260,24,3,57.56521739130435,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,,55,88076620b267,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2022-23,2021-22,16,23,5,false,1352,1106,23,2,58.78260869565217,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,,55,f8a4e38b18ca,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,,55,36f167db5055,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,,55,35d18512b286,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,,55,334a04b1176a,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2020-21,2019-20,21,18,5,false,1021,942,17,2,56.72222222222222,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,,55,3828563d2a28,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2021-22,2020-21,21,18,5,false,1002,944,19,2,55.666666666666664,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,,55,2614de13199f,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2022-23,2021-22,21,18,5,false,1164,1181,14,0,64.66666666666667,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,,55,31d9909a9a64,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2023-24,2022-23,21,18,5,false,1199,909,17,1,66.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,,55,5879fc9506cd,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,0,0,0,0,,55,0f4f24f82c7f,-,none
GATEXP2#1,1786749796-1052671,real (ships),0,true,2025-26,2024-25,21,18,5,false,1049,950,15,1,58.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,0,0,0,0,,55,0f8336277f6d,-,none
