sweep,run_id,key,value
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.BOU[0].start_date	2026-09-16
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.CRY[0].competition	UEL
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.CRY[0].start_date	2026-09-16
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.LIV[0].competition	UCL
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.LIV[0].start_date	2026-09-08
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.MCI[0].competition	UCL
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.MCI[0].start_date	2026-09-08
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.MUN[0].competition	UCL
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.MUN[0].start_date	2026-09-08
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.SUN[0].competition	UEL
ANCHORED#1,1787686781-1459534,constant,congestion.european_campaigns.SUN[0].start_date	2026-09-16
ANCHORED#1,1787686781-1459534,constant,congestion.long_haul_penalty	1
ANCHORED#1,1787686781-1459534,constant,"congestion.long_haul_regions	2 items, sha 925816c9"
ANCHORED#1,1787686781-1459534,constant,congestion.post_break_penalty	1
ANCHORED#1,1787686781-1459534,constant,"congestion.regular_international_regions	5 items, sha 99456437"
ANCHORED#1,1787686781-1459534,constant,congestion.short_rest_penalty	1
ANCHORED#1,1787686781-1459534,constant,congestion.status_last_verified	2026-08-17
ANCHORED#1,1787686781-1459534,constant,congestion.ucl_penalty	1
ANCHORED#1,1787686781-1459534,constant,congestion.uecl_penalty	1
ANCHORED#1,1787686781-1459534,constant,congestion.uel_penalty	1
ANCHORED#1,1787686781-1459534,constant,congestion.very_short_rest_penalty	1
ANCHORED#1,1787686781-1459534,constant,review_policy.always_act_on_ruled_out_starter	true
ANCHORED#1,1787686781-1459534,constant,review_policy.anticipate_chips	false
ANCHORED#1,1787686781-1459534,constant,review_policy.bank_transfers_lookahead	true
ANCHORED#1,1787686781-1459534,constant,review_policy.bank_transfers_up_to	5
ANCHORED#1,1787686781-1459534,constant,review_policy.early_floor.free_transfer_value	1
ANCHORED#1,1787686781-1459534,constant,review_policy.early_floor.min_gain_for_free_transfer	0.2
ANCHORED#1,1787686781-1459534,constant,review_policy.early_floor.until_gameweek	8
ANCHORED#1,1787686781-1459534,constant,review_policy.free_transfer_value	2
ANCHORED#1,1787686781-1459534,constant,review_policy.max_hits_ceiling	1
ANCHORED#1,1787686781-1459534,constant,review_policy.max_hits_per_week	1
ANCHORED#1,1787686781-1459534,constant,review_policy.min_gain_for_free_transfer	0.4
ANCHORED#1,1787686781-1459534,constant,review_policy.min_net_gain_for_minus_4	3
ANCHORED#1,1787686781-1459534,constant,review_policy.min_separable_gain	0.41
ANCHORED#1,1787686781-1459534,constant,review_policy.prepare_squad_for_chips	false
ANCHORED#1,1787686781-1459534,constant,"review_policy.rules	8 items, sha ead95ae5"
ANCHORED#1,1787686781-1459534,constant,review_policy.scheduled_run_lead_hours	6
ANCHORED#1,1787686781-1459534,constant,"role_risk.confirmed_starters	4 items, sha 0a0f53ae"
ANCHORED#1,1787686781-1459534,constant,"role_risk.new_coach_clubs	10 items, sha 3abb2b37"
ANCHORED#1,1787686781-1459534,constant,role_risk.new_coach_gameweeks	6
ANCHORED#1,1787686781-1459534,constant,role_risk.new_coach_penalty	1
ANCHORED#1,1787686781-1459534,constant,role_risk.new_signing_gameweeks	5
ANCHORED#1,1787686781-1459534,constant,role_risk.new_signing_penalty	0.88
ANCHORED#1,1787686781-1459534,constant,weights.band_strength	0
ANCHORED#1,1787686781-1459534,constant,weights.bench_weight	0.1
ANCHORED#1,1787686781-1459534,constant,weights.blank_run_penalty	0.75
ANCHORED#1,1787686781-1459534,constant,weights.blend_minutes_k	5
ANCHORED#1,1787686781-1459534,constant,weights.blend_rate_k	8
ANCHORED#1,1787686781-1459534,constant,weights.bonus_prior_weight	0.5
ANCHORED#1,1787686781-1459534,constant,weights.bonus_weight	1.5
ANCHORED#1,1787686781-1459534,constant,weights.defcon_clean_coupling	0.3
ANCHORED#1,1787686781-1459534,constant,weights.fixture_horizon	5
ANCHORED#1,1787686781-1459534,constant,weights.fixture_weight	0.65
ANCHORED#1,1787686781-1459534,constant,weights.league_shrink_k	8
ANCHORED#1,1787686781-1459534,constant,weights.minutes_half_life	4
ANCHORED#1,1787686781-1459534,constant,weights.minutes_weight	1
ANCHORED#1,1787686781-1459534,constant,weights.minutes_weight_by_position.DEF	1
ANCHORED#1,1787686781-1459534,constant,weights.minutes_weight_by_position.FWD	1
ANCHORED#1,1787686781-1459534,constant,weights.minutes_weight_by_position.GKP	1
ANCHORED#1,1787686781-1459534,constant,weights.minutes_weight_by_position.MID	0.75
ANCHORED#1,1787686781-1459534,constant,weights.prior_half_life	0
ANCHORED#1,1787686781-1459534,constant,weights.rate_half_life	0
ANCHORED#1,1787686781-1459534,constant,weights.rest_gameweeks	2
