season,gw,team,xgc,clean_sheet,element
2020-21,14,15,1.4878720050125314,0,351
2020-21,14,16,1.2043033537414967,0,363
2020-21,14,17,1.1877792064896755,0,383
2020-21,14,18,1.6799302155980504,0,417
2020-21,14,19,1.3455152262860743,0,431
2020-21,14,20,1.141277789473684,0,455
2020-21,15,1,1.2302513256460412,0,8
2020-21,15,2,1.087330387012987,1,12
2020-21,15,3,1.1561485676840908,0,74
2020-21,15,4,1.360003109935332,0,97
2020-21,15,5,0.8605792928479972,0,110
2020-21,15,6,1.2629405584415585,0,128
2020-21,15,8,1.429162039624609,1,516
2020-21,15,9,1.2492783301435406,0,217
2020-21,15,10,1.6982594014598538,1,213
2020-21,15,11,1.1208240650769996,0,255
2020-21,15,12,0.8975393103068645,1,278
2020-21,15,13,1.1597875814536343,0,298
2020-21,15,14,1.3148442301007994,0,325
2020-21,15,15,1.5427236411483252,0,351
2020-21,15,16,1.1978365194805194,1,363
2020-21,15,17,1.206836697103781,0,383
2020-21,15,18,1.7162554014598541,0,417
2020-21,15,19,1.3963466250912528,0,431
2020-21,15,20,1.1397078444976076,0,455
2020-21,16,1,1.2668020506179525,1,8
2020-21,16,2,1.0726989876314161,0,12
2020-21,16,6,1.4143820124223603,0,128
2020-21,16,9,1.2782151418764303,0,217
2020-21,16,10,1.6873203141082518,1,213
2020-21,16,11,1.1016451057258259,1,255
2020-21,16,13,1.1504834641148325,1,298
2020-21,16,14,1.3897331011131724,1,325
2020-21,16,15,1.4983691784897024,0,351
2020-21,16,16,1.1769873229813663,1,363
2020-21,16,18,1.7008964445430348,0,417
2020-21,16,19,1.3958758587829374,1,431
2020-21,16,20,1.1064569382151028,0,455
2020-21,17,1,1.244618423508871,1,8
2020-21,17,2,1.0881253972845335,0,12
2020-21,17,3,1.2402022096994978,0,66
2020-21,17,5,0.9007415068094519,0,110
2020-21,17,6,1.421341636904762,1,128
2020-21,17,9,1.2372573442982457,0,217
2020-21,17,10,1.627026351344086,0,213
2020-21,17,11,1.087053726320583,0,255
2020-21,17,13,1.1168814439359267,0,298
2020-21,17,14,1.3751053231416548,0,325
2020-21,17,17,1.1840280580992688,1,383
2020-21,17,18,1.6824028096774195,0,417
2020-21,17,20,1.1298728157894735,0,455
2020-21,18,1,1.226800446568516,1,8
2020-21,18,3,1.2581415759620187,0,66
2020-21,18,6,1.3763636514285715,1,128
2020-21,18,7,1.2670866126244018,0,156
2020-21,18,8,1.364337300443459,0,516
2020-21,18,12,0.8674011598383707,1,278
2020-21,18,13,1.1302275504385966,1,298
2020-21,18,14,1.3457883170731708,0,325
2020-21,18,15,1.512081425945946,1,483
