"block","variant","variant_index","mean_all","early","late","contrast","se","df","t","p","gw1_vs_rest","gw1_t","gw1_p","gw1_df","n_seasons","byte_identical","gw1","gw6","gw11","gw16","gw21","gw26","p_holm"
"1786645791-625124 / benchshape#1","fixed 2.4/1.0/0.4/0.2 (the shipped tuple)",1,0.132588359037634,1.04292929292929,-0.0548433048433061,-1.0977725977726,0.494444469074039,5,-2.22021413209138,0.07710748993403,2.44089396915484,2.97147334530123,0.031104179556883,5,6,FALSE,2.16666666666667,-0.0808080808080796,-0.702380952380954,-0.478260869565216,-0.148148148148149,0.0384615384615365,1
"1786645791-625124 / benchshape#1","fixed 1.9/1.2/0.6/0.3 (its predecessor)",2,0.0577078866552553,0.986310473152579,-0.0929487179487184,-1.0792591911013,0.441827458350497,5,-2.44271642855916,0.0584579098926864,2.46759264127685,3.35381378900636,0.0202442534440309,5,6,FALSE,2.1140350877193,-0.141414141414141,-0.940476190476191,-0.499999999999999,-0.249999999999999,0.0641025641025621,1
"1786645791-625124 / benchshape#1","derived from the eleven (ships)",3,-0.179995617781658,0.581671982987775,-0.946581196581197,-1.52825317956897,1.63542010516717,5,-0.934471317027595,0.392957676567394,2.24231053081168,1.65379558774538,0.159075533910287,5,6,FALSE,1.68859649122807,-0.525252525252524,0.0773809523809514,-0.427536231884056,0.555555555555556,-2.44871794871795,1
"1786598705-519405 / BONUS#1","1.0 / 1.0",1,-0.0586354646709347,-0.365231259968103,0.787927350427349,1.15315861039545,1.04623623169283,3,1.10219716681922,0.350863990764379,-0.624374284500144,-0.459758306261028,0.676961231799127,3,4,FALSE,-0.578947368421055,-0.15151515151515,-0.142857142857142,-1.05434782608696,-0.597222222222223,2.17307692307692,1
"1786598705-519405 / BONUS#1","0.5 / 2.0",2,-0.393604282191239,-0.0984848484848486,-0.975961538461539,-0.877476689976691,0.625916815726529,3,-1.40190624046131,0.255495247320561,0.472325138629487,0.891378058102001,0.438396642032371,3,4,FALSE,0,-0.196969696969697,-0.0714285714285712,-0.14130434782609,-1.625,-0.326923076923077,1
"1786598705-519405 / BONUS#1","0.0 / 2.0",3,0.168378431679346,0.927631578947366,-0.300213675213676,-1.22784525416104,1.1265658404937,3,-1.08990101601426,0.355472821687997,2.32426167145847,1.07099773161218,0.362674093352931,3,4,FALSE,2.10526315789473,-0.250000000000002,-0.124999999999998,-0.119565217391306,-0.388888888888891,-0.211538461538462,1
"1786598705-519405 / BONUS#1","1.5 / 1.5",4,0.136041407422985,-0.199362041467307,0.129807692307693,0.329169733774999,0.601807180422667,3,0.546968770867462,0.622460512970092,-1.80535495206548,-1.54867623665636,0.219219394528895,3,4,FALSE,-1.36842105263158,0.969696969696967,0.955357142857142,-3.5527136788005e-15,0.125,0.134615384615385,1
"1786599454-530487 / MINK#1","BlendMinutesK 1",1,-0.219592383207945,-0.0860247208931435,-1.01762820512821,-0.931603484235062,1.51706407076334,3,-0.614083150599108,0.582589804583199,0.366142438796899,0.411784483690382,0.708150810909266,3,4,FALSE,0.0855263157894708,-0.257575757575758,-0.892857142857142,1.78260869565217,-3.20833333333333,1.17307692307692,1
"1786599454-530487 / MINK#1","BlendMinutesK 3",2,0.24095349095349,-0.212121212121213,0.693910256410255,0.906031468531468,1.63420389939889,3,0.554417639600991,0.617944081047742,-0.289144189144188,-0.550773163773021,0.620151013139547,3,4,FALSE,0,-0.424242424242426,-0.267857142857142,0.749999999999998,-1.45833333333333,2.84615384615384,1
"1786599454-530487 / MINK#1","BlendMinutesK 8",3,-0.396115178151792,-1.45564194577353,0.0277777777777768,1.4834197235513,1.26854924862313,3,1.16938284040717,0.326708744013026,0.372706634834781,0.458636179589698,0.677681328064604,3,4,FALSE,-0.0855263157894743,-2.82575757575758,0.696428571428573,-0.217391304347828,-1.69444444444444,1.75,1
