sweep,arm,season,start_gw,gw,n_moves,hit_net,out_played,wildcard_after,in_ids,hit,hold_net,hold_out_played,hold_weeks,out_was_captain
HITTUNE,"mgh3, flat (shipped)",2022-23,6,23,1,10,true,false,303,false,14,false,2,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,32,1,-6,true,false,124,false,-7,true,7,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,33,2,-15,true,false,312|107,false,-11,true,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,33,1,-12,true,false,307,false,-15,true,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,37,2,1,false,false,318|7,false,1,false,2,true
HITTUNE,"mgh3, flat (shipped)",2022-23,6,7,1,-7,true,false,376,false,-1,true,8,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,27,1,19,true,false,357,false,38,true,12,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,8,2,35,false,false,80|26,false,141,false,29,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,15,2,3,true,false,465|210,false,28,true,20,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,15,1,-14,true,false,307,false,-11,true,11,false
HITTUNE,"mgh3, flat (shipped)",2023-24,6,29,1,6,true,false,29,false,45,true,10,false
HITTUNE,"mgh3, flat (shipped)",2023-24,6,31,1,21,true,false,263,false,24,true,8,false
HITTUNE,"mgh3, flat (shipped)",2023-24,6,21,2,-16,true,false,343|342,false,-14,true,15,false
